               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023134,             0.02473,           0.0010203,             0.92607,              0.9113,             0.96044,             0.73488,            0.021042,            0.014816,          0.00099241,            0.008845,            0.008845,            0.008845
                  37,            0.023423,            0.025365,           0.0011009,             0.92255,             0.90739,             0.95597,             0.73241,            0.021309,            0.015156,          0.00097047,            0.008812,            0.008812,            0.008812
                  38,            0.023151,            0.024854,           0.0012048,             0.92696,             0.90857,             0.96011,             0.73516,            0.021173,            0.015125,           0.0012527,            0.008779,            0.008779,            0.008779
                  39,            0.023155,            0.025013,           0.0011667,             0.92711,             0.91066,              0.9586,             0.73527,            0.021431,            0.014934,          0.00093253,            0.008746,            0.008746,            0.008746
                  40,            0.022844,            0.024986,           0.0011348,             0.91929,              0.9225,             0.96124,             0.73416,            0.021262,            0.014798,          0.00094258,            0.008713,            0.008713,            0.008713
                  41,            0.023034,             0.02505,           0.0011683,             0.92304,              0.9144,             0.96076,               0.745,            0.020914,            0.014809,          0.00094863,             0.00868,             0.00868,             0.00868
                  42,            0.022664,            0.024668,           0.0010583,             0.92642,             0.91948,             0.96012,             0.73763,            0.020947,            0.014923,          0.00099808,            0.008647,            0.008647,            0.008647
                  43,            0.022655,            0.024501,           0.0011257,             0.91451,             0.92035,             0.96037,             0.73181,            0.021267,             0.01486,          0.00096485,            0.008614,            0.008614,            0.008614
                  44,            0.022689,            0.024718,           0.0010685,             0.92927,             0.91066,             0.96022,             0.73357,            0.021448,             0.01496,           0.0009656,            0.008581,            0.008581,            0.008581
                  45,            0.022527,            0.024523,           0.0010426,              0.9243,              0.9121,              0.9586,             0.73671,            0.020884,            0.014922,           0.0009271,            0.008548,            0.008548,            0.008548
                  46,            0.022644,            0.024547,           0.0010922,             0.93226,             0.91022,             0.95959,             0.74287,            0.020797,            0.014903,          0.00094142,            0.008515,            0.008515,            0.008515
                  47,            0.022318,            0.024183,          0.00098549,             0.92513,             0.91011,             0.96064,             0.73877,            0.020897,            0.014876,          0.00091814,            0.008482,            0.008482,            0.008482
                  48,            0.022064,            0.024306,           0.0011246,              0.9221,             0.91176,             0.95946,             0.74194,            0.020736,            0.014821,           0.0010798,            0.008449,            0.008449,            0.008449
                  49,            0.021919,            0.024079,           0.0011322,             0.92655,               0.911,             0.95958,             0.73782,            0.020997,            0.014858,          0.00097115,            0.008416,            0.008416,            0.008416
                  50,            0.021886,             0.02426,           0.0010565,             0.92698,             0.91797,             0.96055,             0.74172,            0.020775,            0.014713,          0.00088135,            0.008383,            0.008383,            0.008383
                  51,            0.022077,            0.023662,           0.0010661,             0.92788,             0.91201,             0.95895,             0.74756,            0.020674,            0.014915,          0.00098285,             0.00835,             0.00835,             0.00835
                  52,             0.02179,            0.023829,           0.0010095,             0.93329,              0.9129,             0.96349,             0.75089,            0.020391,             0.01447,          0.00095248,            0.008317,            0.008317,            0.008317
                  53,            0.021786,             0.02358,           0.0009804,             0.92404,             0.91264,             0.95878,             0.74804,            0.020532,            0.015147,           0.0009211,            0.008284,            0.008284,            0.008284
                  54,            0.021668,            0.023671,           0.0010483,             0.93002,             0.91402,             0.95877,             0.75025,             0.02026,             0.01479,          0.00098932,            0.008251,            0.008251,            0.008251
                  55,            0.021505,            0.023362,          0.00097628,             0.93368,              0.9079,             0.96005,             0.74805,            0.020434,            0.014753,           0.0010341,            0.008218,            0.008218,            0.008218
                  56,            0.021731,            0.023845,           0.0010022,             0.92555,             0.91732,             0.95744,             0.74422,            0.020594,            0.014997,          0.00087346,            0.008185,            0.008185,            0.008185
                  57,            0.021916,            0.023313,           0.0010701,             0.92888,             0.91459,             0.96032,              0.7509,            0.020339,              0.0147,          0.00083978,            0.008152,            0.008152,            0.008152
                  58,            0.021539,            0.023549,          0.00099955,             0.91679,             0.92004,             0.96196,             0.75125,            0.020351,            0.014645,           0.0008914,            0.008119,            0.008119,            0.008119
                  59,            0.021158,            0.023308,           0.0010098,             0.93207,             0.91456,             0.96267,             0.75163,             0.02027,             0.01467,           0.0010521,            0.008086,            0.008086,            0.008086
                  60,             0.02122,            0.023519,          0.00095685,              0.9253,             0.91834,             0.96068,             0.74999,            0.020258,            0.014586,          0.00092142,            0.008053,            0.008053,            0.008053
                  61,            0.021363,            0.023379,          0.00094682,             0.93229,             0.91502,             0.95803,             0.75398,            0.020082,            0.014784,          0.00094825,             0.00802,             0.00802,             0.00802
                  62,            0.021234,            0.023329,          0.00094449,             0.92818,             0.91528,             0.96009,             0.75335,            0.020323,            0.014659,          0.00084906,            0.007987,            0.007987,            0.007987
                  63,            0.021208,            0.023771,          0.00093365,             0.93468,             0.91042,             0.95968,              0.7549,            0.020039,            0.014809,          0.00091754,            0.007954,            0.007954,            0.007954
                  64,            0.021027,             0.02306,          0.00085908,             0.93479,             0.91416,             0.95978,             0.75475,            0.020224,            0.014732,          0.00095928,            0.007921,            0.007921,            0.007921
                  65,             0.02087,            0.023279,          0.00096051,             0.92555,             0.92435,             0.96048,             0.75418,            0.020234,            0.014707,          0.00096711,            0.007888,            0.007888,            0.007888
                  66,            0.021181,            0.023141,          0.00089641,             0.92488,             0.91961,             0.96264,             0.75759,             0.02001,            0.014581,           0.0010046,            0.007855,            0.007855,            0.007855
                  67,            0.020974,            0.022935,          0.00092347,             0.93384,             0.91063,             0.95916,             0.75537,            0.019935,            0.014745,          0.00093892,            0.007822,            0.007822,            0.007822
                  68,            0.020886,            0.023383,          0.00093068,             0.93582,             0.91345,             0.96215,             0.75835,            0.019807,            0.014505,          0.00091975,            0.007789,            0.007789,            0.007789
                  69,            0.020822,            0.023626,          0.00094551,             0.92692,             0.92331,             0.96215,             0.75644,            0.020013,            0.014529,          0.00095003,            0.007756,            0.007756,            0.007756
                  70,            0.020781,            0.022438,          0.00091637,             0.92772,             0.92192,             0.96152,             0.75522,            0.020056,            0.014533,          0.00086895,            0.007723,            0.007723,            0.007723
                  71,            0.020539,            0.022722,          0.00094385,             0.92385,             0.91897,             0.96015,             0.75375,            0.019939,            0.014646,          0.00083203,             0.00769,             0.00769,             0.00769
                  72,            0.020607,            0.023047,          0.00084815,             0.93589,             0.91444,             0.96125,             0.76069,             0.01986,            0.014603,          0.00088117,            0.007657,            0.007657,            0.007657
                  73,            0.020662,            0.022653,          0.00087774,             0.92889,             0.92052,             0.96267,             0.76313,            0.019858,            0.014485,          0.00091248,            0.007624,            0.007624,            0.007624
                  74,            0.020307,            0.022692,          0.00088474,             0.93431,             0.91355,              0.9602,              0.7592,            0.019836,            0.014722,          0.00086978,            0.007591,            0.007591,            0.007591
                  75,            0.020607,            0.022632,          0.00083923,             0.93189,             0.91163,             0.95716,             0.75696,            0.019887,            0.014882,          0.00098554,            0.007558,            0.007558,            0.007558
                  76,             0.02063,            0.022458,           0.0009615,             0.92041,             0.92878,             0.96171,             0.75808,            0.019741,            0.014511,          0.00089668,            0.007525,            0.007525,            0.007525
                  77,            0.020557,            0.022485,          0.00093328,              0.9272,             0.91868,             0.96197,             0.76157,            0.019773,            0.014596,          0.00087685,            0.007492,            0.007492,            0.007492
                  78,            0.020308,            0.022564,          0.00083915,             0.93134,             0.91727,             0.96348,             0.76104,            0.019961,            0.014418,          0.00085855,            0.007459,            0.007459,            0.007459
                  79,            0.020123,             0.02241,          0.00085418,               0.932,             0.91836,             0.96249,             0.76289,             0.01976,            0.014574,          0.00092647,            0.007426,            0.007426,            0.007426
                  80,            0.020562,            0.022797,          0.00088446,             0.93491,             0.91396,             0.96291,             0.76282,            0.019791,            0.014422,          0.00093613,            0.007393,            0.007393,            0.007393
                  81,            0.020264,            0.022749,          0.00090481,             0.93114,             0.91458,             0.96028,             0.76274,            0.019701,            0.014649,           0.0010524,             0.00736,             0.00736,             0.00736
                  82,            0.020372,            0.023014,          0.00088033,             0.93202,             0.91545,             0.96082,             0.76156,            0.019796,            0.014629,          0.00099619,            0.007327,            0.007327,            0.007327
                  83,            0.020162,             0.02243,          0.00083557,             0.93238,             0.91602,             0.96347,             0.76187,            0.019694,            0.014452,          0.00094163,            0.007294,            0.007294,            0.007294
                  84,            0.020187,            0.022664,          0.00086803,             0.92446,             0.92259,             0.96247,               0.763,             0.01964,            0.014544,          0.00098274,            0.007261,            0.007261,            0.007261
                  85,            0.020129,              0.0224,          0.00086941,              0.9261,             0.92396,             0.96133,             0.76465,             0.01954,            0.014517,          0.00082158,            0.007228,            0.007228,            0.007228
                  86,            0.019959,            0.021826,          0.00083841,             0.92861,             0.92336,             0.96275,             0.76606,            0.019601,             0.01447,          0.00088948,            0.007195,            0.007195,            0.007195
                  87,            0.019878,            0.022005,           0.0007819,             0.92978,             0.92168,             0.96086,             0.76862,            0.019437,            0.014463,          0.00089127,            0.007162,            0.007162,            0.007162
                  88,            0.020148,            0.022126,          0.00084566,             0.93394,             0.91463,              0.9617,             0.76717,            0.019566,            0.014528,          0.00086189,            0.007129,            0.007129,            0.007129
                  89,            0.019872,            0.021735,          0.00079474,             0.93215,              0.9168,             0.95977,             0.76817,            0.019476,            0.014705,           0.0008445,            0.007096,            0.007096,            0.007096
                  90,            0.019848,            0.021938,          0.00078795,             0.93473,             0.91543,             0.96186,              0.7702,            0.019228,             0.01435,          0.00091838,            0.007063,            0.007063,            0.007063
                  91,            0.019634,            0.021695,          0.00088807,              0.9279,             0.92181,             0.96084,             0.76623,            0.019349,            0.014591,          0.00084782,             0.00703,             0.00703,             0.00703
                  92,            0.019944,            0.022134,          0.00079182,              0.9275,             0.92292,             0.96073,             0.76517,            0.019434,             0.01455,          0.00095001,            0.006997,            0.006997,            0.006997
                  93,            0.019798,             0.02219,          0.00081135,             0.93518,             0.91612,             0.96282,             0.77138,            0.019269,            0.014494,          0.00087763,            0.006964,            0.006964,            0.006964
                  94,            0.019765,            0.021818,          0.00080012,             0.92771,             0.92212,               0.962,             0.77069,            0.019176,            0.014434,          0.00086077,            0.006931,            0.006931,            0.006931
                  95,            0.019506,            0.021898,          0.00078709,             0.93203,             0.92049,             0.96198,             0.76863,            0.019384,            0.014546,          0.00090122,            0.006898,            0.006898,            0.006898
                  96,            0.019585,            0.021787,          0.00079014,             0.93103,             0.91852,             0.96122,             0.76856,            0.019203,            0.014483,          0.00091982,            0.006865,            0.006865,            0.006865
                  97,            0.019621,            0.021831,          0.00074186,             0.93313,             0.91815,             0.95947,             0.76696,            0.019353,            0.014612,          0.00088643,            0.006832,            0.006832,            0.006832
                  98,            0.019432,            0.021827,          0.00080658,             0.92977,             0.92201,             0.96276,             0.77086,             0.01934,            0.014412,          0.00081644,            0.006799,            0.006799,            0.006799
                  99,            0.019671,             0.02155,          0.00078025,             0.93624,             0.91472,             0.96135,             0.77009,            0.019255,            0.014511,          0.00081555,            0.006766,            0.006766,            0.006766
                 100,            0.019646,            0.022239,           0.0008358,             0.93745,             0.91531,             0.96086,             0.77268,            0.019157,            0.014537,          0.00084366,            0.006733,            0.006733,            0.006733
                 101,            0.019284,            0.021887,          0.00073143,             0.93021,             0.91908,             0.96191,             0.77171,            0.019202,            0.014382,          0.00083408,              0.0067,              0.0067,              0.0067
                 102,            0.019408,            0.021454,          0.00070924,             0.93307,             0.92022,              0.9599,             0.76924,            0.019253,            0.014601,          0.00082368,            0.006667,            0.006667,            0.006667
                 103,            0.019481,            0.022046,          0.00075527,             0.92492,             0.92592,             0.96055,             0.76878,            0.019254,            0.014631,          0.00095723,            0.006634,            0.006634,            0.006634
                 104,            0.019099,            0.021286,          0.00073248,             0.93069,              0.9229,             0.96037,             0.77291,            0.019124,            0.014507,          0.00097424,            0.006601,            0.006601,            0.006601
                 105,            0.019302,            0.021211,          0.00076585,              0.9334,              0.9195,             0.96252,             0.77355,            0.019088,            0.014487,          0.00091384,            0.006568,            0.006568,            0.006568
                 106,              0.0192,            0.021154,          0.00082875,              0.9352,             0.91762,             0.96219,             0.77375,             0.01908,            0.014477,           0.0010321,            0.006535,            0.006535,            0.006535
                 107,            0.019065,             0.02169,          0.00078277,             0.92906,             0.92373,             0.96258,             0.77156,            0.019224,            0.014493,          0.00089846,            0.006502,            0.006502,            0.006502
                 108,            0.019197,            0.021864,          0.00081915,             0.93154,             0.92437,             0.96172,             0.77255,            0.019182,            0.014458,          0.00088852,            0.006469,            0.006469,            0.006469
                 109,             0.01915,            0.021527,           0.0007164,             0.93772,             0.91813,             0.96034,             0.77235,            0.019193,            0.014591,          0.00091708,            0.006436,            0.006436,            0.006436
                 110,            0.018922,            0.021144,          0.00072216,             0.93541,             0.91871,             0.96056,             0.77432,            0.019062,            0.014597,          0.00097446,            0.006403,            0.006403,            0.006403
                 111,            0.019034,            0.021321,          0.00087622,             0.93792,             0.91632,             0.96005,             0.77452,            0.019109,            0.014746,           0.0010081,             0.00637,             0.00637,             0.00637
                 112,            0.019076,            0.021164,           0.0007778,             0.93571,                0.92,             0.96116,             0.77615,            0.019063,            0.014562,           0.0010481,            0.006337,            0.006337,            0.006337
                 113,            0.019041,            0.021041,          0.00078893,             0.93889,             0.91514,             0.96202,             0.77313,            0.019064,            0.014614,          0.00098878,            0.006304,            0.006304,            0.006304
                 114,            0.018902,             0.02132,          0.00078389,             0.93717,             0.91725,             0.96148,             0.77443,            0.019024,            0.014476,          0.00097272,            0.006271,            0.006271,            0.006271
                 115,            0.018789,            0.021003,          0.00072101,              0.9375,             0.91782,             0.96038,             0.77446,            0.019072,            0.014568,          0.00099314,            0.006238,            0.006238,            0.006238
                 116,            0.018661,            0.021364,          0.00076087,             0.93383,             0.92105,             0.96031,             0.77275,            0.019104,            0.014589,          0.00093202,            0.006205,            0.006205,            0.006205
                 117,            0.019136,            0.021396,          0.00081091,             0.94099,             0.91615,              0.9614,             0.77651,            0.018978,            0.014528,          0.00091409,            0.006172,            0.006172,            0.006172
                 118,            0.019079,            0.021302,          0.00083597,             0.93692,             0.91865,             0.96178,             0.77668,            0.018984,              0.0145,          0.00099121,            0.006139,            0.006139,            0.006139
                 119,            0.018736,            0.020671,          0.00067396,             0.93858,             0.91775,             0.96096,             0.77666,            0.019006,            0.014547,           0.0010205,            0.006106,            0.006106,            0.006106
                 120,            0.018601,            0.021143,          0.00080436,             0.93526,             0.92055,             0.96031,             0.77505,            0.018971,            0.014511,           0.0010291,            0.006073,            0.006073,            0.006073
                 121,            0.018727,            0.021297,          0.00075158,             0.93541,             0.92094,             0.96158,             0.77636,            0.018933,            0.014458,          0.00099286,             0.00604,             0.00604,             0.00604
                 122,              0.0187,            0.020904,          0.00074346,             0.92999,             0.92378,             0.96092,             0.77652,            0.018881,            0.014527,          0.00092551,            0.006007,            0.006007,            0.006007
                 123,            0.018427,             0.02098,          0.00073378,             0.92847,              0.9236,             0.96138,             0.77733,            0.018869,            0.014497,          0.00090652,            0.005974,            0.005974,            0.005974
                 124,            0.018595,            0.021269,          0.00073019,             0.92755,             0.92781,             0.96149,             0.77779,            0.018848,            0.014516,          0.00090135,            0.005941,            0.005941,            0.005941
                 125,            0.018499,            0.020636,          0.00074423,             0.93287,             0.92048,             0.96085,             0.77687,            0.018933,            0.014549,          0.00090622,            0.005908,            0.005908,            0.005908
                 126,            0.018489,            0.020971,          0.00075568,             0.92986,             0.92013,             0.96083,             0.77622,            0.018974,            0.014584,          0.00092458,            0.005875,            0.005875,            0.005875
                 127,            0.018532,            0.021318,          0.00074038,             0.93286,             0.91865,             0.96023,             0.77595,            0.018935,            0.014575,          0.00090831,            0.005842,            0.005842,            0.005842
                 128,            0.018447,            0.020634,          0.00068552,             0.93121,             0.92185,             0.95947,             0.77704,            0.018905,            0.014622,          0.00090446,            0.005809,            0.005809,            0.005809
                 129,            0.018515,             0.02094,          0.00075181,             0.93284,             0.91903,             0.96026,              0.7774,            0.018869,            0.014544,          0.00090674,            0.005776,            0.005776,            0.005776
                 130,            0.018582,            0.020673,          0.00076373,             0.93634,             0.92067,              0.9611,             0.77788,            0.018897,            0.014503,          0.00092083,            0.005743,            0.005743,            0.005743
                 131,            0.018405,            0.020942,          0.00071339,             0.93812,             0.91882,             0.96097,             0.77904,            0.018874,            0.014528,            0.000919,             0.00571,             0.00571,             0.00571
                 132,            0.018526,             0.02042,           0.0007249,             0.93996,             0.91592,             0.96007,             0.77788,            0.018929,            0.014608,          0.00095209,            0.005677,            0.005677,            0.005677
                 133,            0.018451,            0.020701,          0.00069134,             0.94027,             0.91603,              0.9606,             0.77773,            0.018874,            0.014631,          0.00093711,            0.005644,            0.005644,            0.005644
